Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status"
Bonnyrigg burgh,1865–1920 †,None,None
Bonnyrigg and Lasswade burgh,1930,Formed 1930 from two burghs,None
Dalkeith burgh,1878,"Burgh of barony 1401 
 Burgh of regality 1540",None
Lasswade burgh,1881–1920 †,None,None
Leith burgh,1862–1920 ‡,"Burgh of barony 1636 
 Parliamentary burgh 1832",One of the Leith Burghs 1832 to 1918
Loanhead burgh,1884,Burgh of barony 1669,None
Musselburgh burgh,1849,"Burgh of regality 1562 
 Parliamentary burgh 1832",One of the Leith Burghs 1832 to 1918
Penicuik burgh,1866,None,None
Portobello burgh,1850–1896 ‡,Parliamentary burgh 1832,One of the Leith Burghs 1832 to 1918
