Burgh,"Date of adoption 
 of police system",Earlier burghal history,"Post Union 
 parliamentary burgh status",Burgh_Cleaned,lat,long
"Aberdeen royal burgh 
 (County of a City from 1899 
 - previously straddled Aberdeenshire and Kincardineshire)",1862 [note a],Royal burgh from 1124,"One of the Aberdeen Burghs 1708 to 1832 
 Aberdeen burgh constituency 1832 to 1885","Aberdeen  
 (County of a City from 1899 
 - previously straddled Aberdeenshire and Kincardineshire)",57.15,-2.1
"Dundee royal burgh 
 (County of a city from 1894 
 - previously in Forfarshire)",1837,Royal burgh from 1191–1195,"One of the Perth Burghs 1708 to 1832 
 Dundee burgh constituency 1832 to 1950","Dundee  
 (County of a city from 1894 
 - previously in Forfarshire)",56.462389,-2.971268
"Edinburgh royal burgh 
 (County of a City from 13th century)",1805 (by Private Act),Royal burgh from 1124–1127,Edinburgh burgh constituency 1708 to 1885,"Edin  
 (County of a City from 13th century)",55.962414,-3.189968
"Glasgow royal burgh 
 (County of a City from 1893
 - previously in Lanarkshire)",1800 (by Private Act)[note b],Royal burgh 1611,"One of the Clyde Burghs 1708 to 1832 
 Glasgow burgh constituency 1832 to 1885","Glasgow  
 (County of a City from 1893
 - previously in Lanarkshire)",55.859908,-4.243083
Alloa  burgh,1854,"Burgh of regality 1497, 
 reerected 1620",,Alloa,56.1156137,-3.7922423
Alva  burgh,1876,,,Alva,36.8030501,-98.6660278
Dollar burgh,1891,Burgh of regality 1702,,Dollar,56.1628355,-3.6740886
Tillicoultry burgh,1871,Burgh of barony 1634,,Tillicoultry,56.1531387,-3.7414782
Annan royal burgh,1858,Royal burgh by 1532,One of the Dumfries Burghs 1708 to 1918,Annan,54.9881816,-3.2607383
Dumfries royal burgh,1833,"Royal burgh c 1186 
 Absorbed Maxwelltown burgh (Kirkcudbrightshire) in  1930",One of the Dumfries Burghs 1708 to 1918,Dumfries,55.0691397,-3.6107936
Lochmaben royal burgh,1858,"Confirmed 1612 
 Recognised as royal burgh by 1447",One of the Dumfries Burghs 1708 to 1918,Lochmaben,55.1288756,-3.441277
Sanquhar royal burgh,1890,"Royal burgh 1598 
 Originally burgh of barony 1484",One of the Dumfries Burghs 1708 to 1918,Sanquhar,55.3676858,-3.9236766
Langholm burgh,1845,"Burgh of barony 1621 
 Burgh of regality 1687",,Langholm,55.1505895,-2.9983313
Lockerbie burgh,1863,,,Lockerbie,55.1218578,-3.355237
Moffat burgh,1864,"Burgh of regality 1648 
 Confirmed 1662",,Moffat,40.6083135,-108.252345
Dumbarton royal burgh,1833,Royal burgh by 1532,"One of the Clyde Burghs 1708 to 1832, 
 of the Kilmarnock Burghs 1832 to 1918 
 and of the Dumbarton Burghs 1918 to 1950",Dumbarton,55.9432443,-4.5708479
Bearsden burgh,1958,,,Bearsden,55.920461,-4.3332046
Clydebank burgh,1886,,One of the Dumbarton Burghs 1918 to 1950,Clydebank,55.9026837,-4.4034151
Cove and Kilcreggan burgh,1865,,,Cove and Kilcreggan,55.9847309,-4.8214484
Cumbernauld burgh,1968,Burgh of barony 1649 - 1893,,Cumbernauld,55.9477764,-3.9882568
Helensburgh burgh,1846,Burgh of barony 1802,,Helens,46.191391,-122.195527
Kirkintilloch burgh,1836,Burgh of barony 1526,,Kirkintilloch,55.9383914,-4.1549049
Milngavie burgh,1875,"Burgh of regality 1648 
 Confirmed 1662",,Milngavie,55.9410791,-4.3178027
Dunbar royal burgh,1863,'Free' burgh 1370,One of the Haddington Burghs 1708 to 1885,Dunbar,56.0021385,-2.5158237
Haddington royal burgh,1858,Created royal burgh c 1124 - 53,One of the Haddington Burghs 1708 to 1885,Haddington,55.9556144,-2.779317
North Berwick royal burgh,1860,Royal burgh by 1425,One of the Haddington Burghs 1708 to 1885,North Berwick,56.0581178,-2.7209129
Cockenzie and Port Seton burgh,1885,"Burgh of barony (as Cockenzie) 1591 
 Burgh of regality (as Winton) 1686",,Cockenzie and Port Seton,55.9706083,-2.9576975
East Linton burgh,1863,,,East Linton,55.9868712,-2.6621772
Prestonpans burgh,1862,Burgh of barony 1552,,Prestonpans,55.9593948,-2.9842401
Tranent burgh,1860,Burgh of barony 1542,,Tranent,55.9444972,-2.9534938
Anstruther Easter royal burgh,1841–1929 †,"Royal burgh 1583, previously burgh of barony 1572","One of the Anstruther Burghs 1708 to 1832  
 and of the St Andrews Burghs 1832 to 1918",Anstruther Easter,56.2242925,-2.698339
Anstruther Wester royal burgh,1893?–1929 †,"Royal burgh 1587, previously burgh of barony 1541","One of the Anstruther Burghs 1708 to 1832  
 and of the St Andrews Burghs 1832 to 1918",Anstruther Wester,56.2207076,-2.707716
Auchtermuchty royal burgh,1874,Royal burgh 1517,,Auchtermuchty,56.2920848,-3.2328277
Burntisland royal burgh,1833,Royal burgh 1541,"One of the Dysart Burghs 1708 to 1832 
 and of the Kirkcaldy Burghs 1832 to 1950",Burntisland,56.0593631,-3.2330993
Crail royal burgh,1893?,"Royal burgh since 1198, chartered 1314 - 29","One of the Anstruther Burghs 1708 to 1832  
 and of the St Andrews Burghs 1832 to 1918",Crail,56.2606771,-2.6267118
Culross royal burgh,1893?,"Royal burgh 1592 
 Previously burgh of barony 1490",One of the Stirling Burghs 1708 to 1918,Culross,56.0556633,-3.6283699
Cupar royal burgh,1834,Royal burgh by 1327,One of the Perth Burghs 1708 to 1832,Cupar,56.3193913,-3.0116545
Dunfermline royal burgh,1811 - by private act,Royal burgh status restored 1594,"One of the Stirling Burghs 1708 to 1918 
 and of the Dunfermline Burghs 1918 to 1950",Dunfermline,56.0713724,-3.4616183
Dysart royal burgh,1834–1930 ‡,"Royal burgh 1587 
 Previously burgh of barony 1510","One of the Dysart Burghs 1708 to 1832 
 and of the Kirkcaldy Burghs 1832 to 1950",Dysart,42.1709373,-92.3062052
Earlsferry royal burgh,1893?–1929  †,Royal burgh status confirmed 1589,,Earlsferry,56.1885585,-2.8351469
Elie and Earlsferry royal burgh,1929  †,Created 1929 from two burghs,,Elie and Earlsferry,56.1902134,-2.8265701
Falkland royal burgh,1893?,Royal burgh 1458,,Falkland,56.2530979,-3.2079837
Inverkeithing royal burgh,1892,Royal burgh 13th century,"One of the Stirling Burghs 1708 to 1918 
 and of the Dunfermline Burghs 1918 to 1950",Inverkeithing,56.0308767,-3.3977498
Kilrenny royal burgh,1848–1929 †,"Royal burgh 1592, previously burgh of regality 1578","One of the Anstruther Burghs 1708 to 1832  
 and of the St Andrews Burghs 1832 to 1918",Kilrenny,56.2344466,-2.6890061
"Kilrenny, Anstruther Easter and Anstruther Wester royal burgh",1929,Created 1929 from three royal burghs,,"Kilrenny, Anstruther Easter and Anstruther Wester",56.230048,-2.690299
Kincardine burgh,Not adopted. Burgh abolished 1893,Burgh of barony 1663,,Kincardine,44.1776378,-81.6348713
Kinghorn royal burgh,1833,Royal burgh 12th century,One of the Dysart Burghs 1708 to 1832 and of the Kirkcaldy Burghs 1832 to 1950,Kinghorn,56.0707374,-3.1742285
Kirkcaldy royal burgh,1811 (by private act),"Royal burgh 1644 
 Previously ecclesiastical burgh 
 Absorbed Dysart royal burgh 1930","One of the Dysart Burghs 1708 to 1832 
 and of the Kirkcaldy Burghs 1832 to 1950",Kirkcaldy,56.1110218,-3.1582296
Newburgh royal burgh,1850s,"Royal burgh 1631, previously burgh of regality 1600",,New,56.3517,-3.2383
